"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","move_dir"
"Pandemic (2021/2022)","Europe","South America",12,3123207,260267.2,"Europe_SouthAmerica"
"Pandemic (2021/2022)","Europe","South China",12,486230,40519.2,"Europe_SouthChina"
"Pandemic (2021/2022)","Europe","South-eastern Asia",12,1451213,120934.4,"Europe_SoutheasternAsia"
"Pandemic (2021/2022)","Europe","Southern Asia",12,3460277,288356.4,"Europe_SouthernAsia"
"Pandemic (2021/2022)","Europe","Western Asia",12,20126620,1677218.3,"Europe_WesternAsia"
"Pandemic (2021/2022)","Japan/Korea","Africa",12,79431,6619.2,"JapanKorea_Africa"
"Pandemic (2021/2022)","Japan/Korea","Europe",12,840902,70075.2,"JapanKorea_Europe"
"Pandemic (2021/2022)","Japan/Korea","North America",12,1515561,126296.8,"JapanKorea_NorthAmerica"
"Pandemic (2021/2022)","Japan/Korea","North China",12,194556,16213,"JapanKorea_NorthChina"
"Pandemic (2021/2022)","Japan/Korea","Oceania",12,101902,8491.8,"JapanKorea_Oceania"
"Pandemic (2021/2022)","Japan/Korea","Russia",12,75174,6264.5,"JapanKorea_Russia"
"Pandemic (2021/2022)","Japan/Korea","South America",12,61197,5099.8,"JapanKorea_SouthAmerica"
"Pandemic (2021/2022)","Japan/Korea","South China",12,661217,55101.4,"JapanKorea_SouthChina"
"Pandemic (2021/2022)","Japan/Korea","South-eastern Asia",12,1379307,114942.2,"JapanKorea_SoutheasternAsia"
"Pandemic (2021/2022)","Japan/Korea","Southern Asia",12,209558,17463.2,"JapanKorea_SouthernAsia"
"Pandemic (2021/2022)","Japan/Korea","Western Asia",12,215922,17993.5,"JapanKorea_WesternAsia"
"Pandemic (2021/2022)","North America","Africa",12,1671662,139305.2,"NorthAmerica_Africa"
"Pandemic (2021/2022)","North America","Europe",12,11355306,946275.5,"NorthAmerica_Europe"
"Pandemic (2021/2022)","North America","Japan/Korea",12,1526592,127216,"NorthAmerica_JapanKorea"
"Pandemic (2021/2022)","North America","North China",12,52490,4374.2,"NorthAmerica_NorthChina"
"Pandemic (2021/2022)","North America","Oceania",12,384070,32005.8,"NorthAmerica_Oceania"
"Pandemic (2021/2022)","North America","Russia",12,208183,17348.6,"NorthAmerica_Russia"
"Pandemic (2021/2022)","North America","South America",12,5779424,481618.7,"NorthAmerica_SouthAmerica"
"Pandemic (2021/2022)","North America","South China",12,544447,45370.6,"NorthAmerica_SouthChina"
"Pandemic (2021/2022)","North America","South-eastern Asia",12,783863,65321.9,"NorthAmerica_SoutheasternAsia"
"Pandemic (2021/2022)","North America","Southern Asia",12,2024212,168684.3,"NorthAmerica_SouthernAsia"
"Pandemic (2021/2022)","North America","Western Asia",12,2605154,217096.2,"NorthAmerica_WesternAsia"
"Pandemic (2021/2022)","North China","Africa",12,20425,1702.1,"NorthChina_Africa"
"Pandemic (2021/2022)","North China","Europe",12,137800,11483.3,"NorthChina_Europe"
"Pandemic (2021/2022)","North China","Japan/Korea",12,207998,17333.2,"NorthChina_JapanKorea"
"Pandemic (2021/2022)","North China","North America",12,108220,9018.3,"NorthChina_NorthAmerica"
"Pandemic (2021/2022)","North China","Oceania",12,45297,3774.8,"NorthChina_Oceania"
"Pandemic (2021/2022)","North China","Russia",12,8733,727.8,"NorthChina_Russia"
"Pandemic (2021/2022)","North China","South America",12,3220,268.3,"NorthChina_SouthAmerica"
"Pandemic (2021/2022)","North China","South China",12,91900563,7658380.2,"NorthChina_SouthChina"
"Pandemic (2021/2022)","North China","South-eastern Asia",12,154449,12870.8,"NorthChina_SoutheasternAsia"
"Pandemic (2021/2022)","North China","Southern Asia",12,62377,5198.1,"NorthChina_SouthernAsia"
"Pandemic (2021/2022)","North China","Western Asia",12,34035,2836.2,"NorthChina_WesternAsia"
"Pandemic (2021/2022)","Oceania","Africa",12,47546,3962.2,"Oceania_Africa"
"Pandemic (2021/2022)","Oceania","Europe",12,394070,32839.2,"Oceania_Europe"
"Pandemic (2021/2022)","Oceania","Japan/Korea",12,104466,8705.5,"Oceania_JapanKorea"
"Pandemic (2021/2022)","Oceania","North America",12,415817,34651.4,"Oceania_NorthAmerica"
"Pandemic (2021/2022)","Oceania","North China",12,28213,2351.1,"Oceania_NorthChina"
"Pandemic (2021/2022)","Oceania","Russia",12,5202,433.5,"Oceania_Russia"
"Pandemic (2021/2022)","Oceania","South America",12,23886,1990.5,"Oceania_SouthAmerica"
"Pandemic (2021/2022)","Oceania","South China",12,234318,19526.5,"Oceania_SouthChina"
"Pandemic (2021/2022)","Oceania","South-eastern Asia",12,475835,39652.9,"Oceania_SoutheasternAsia"
"Pandemic (2021/2022)","Oceania","Southern Asia",12,265290,22107.5,"Oceania_SouthernAsia"
"Pandemic (2021/2022)","Oceania","Western Asia",12,182305,15192.1,"Oceania_WesternAsia"
"Pandemic (2021/2022)","Russia","Africa",12,648365,54030.4,"Russia_Africa"
"Pandemic (2021/2022)","Russia","Europe",12,5323162,443596.8,"Russia_Europe"
"Pandemic (2021/2022)","Russia","Japan/Korea",12,81536,6794.7,"Russia_JapanKorea"
"Pandemic (2021/2022)","Russia","North America",12,231981,19331.8,"Russia_NorthAmerica"
"Pandemic (2021/2022)","Russia","North China",12,5571,464.2,"Russia_NorthChina"
"Pandemic (2021/2022)","Russia","Oceania",12,6081,506.8,"Russia_Oceania"
"Pandemic (2021/2022)","Russia","South America",12,27449,2287.4,"Russia_SouthAmerica"
"Pandemic (2021/2022)","Russia","South China",12,25023,2085.2,"Russia_SouthChina"
"Pandemic (2021/2022)","Russia","South-eastern Asia",12,134265,11188.8,"Russia_SoutheasternAsia"
"Pandemic (2021/2022)","Russia","Southern Asia",12,315229,26269.1,"Russia_SouthernAsia"
"Pandemic (2021/2022)","Russia","Western Asia",12,3258284,271523.7,"Russia_WesternAsia"
"Pandemic (2021/2022)","South America","Africa",12,72669,6055.8,"SouthAmerica_Africa"
"Pandemic (2021/2022)","South America","Europe",12,3118903,259908.6,"SouthAmerica_Europe"
"Pandemic (2021/2022)","South America","Japan/Korea",12,52902,4408.5,"SouthAmerica_JapanKorea"
"Pandemic (2021/2022)","South America","North America",12,5783335,481944.6,"SouthAmerica_NorthAmerica"
"Pandemic (2021/2022)","South America","North China",12,1314,109.5,"SouthAmerica_NorthChina"
"Pandemic (2021/2022)","South America","Oceania",12,22641,1886.8,"SouthAmerica_Oceania"
"Pandemic (2021/2022)","South America","Russia",12,20477,1706.4,"SouthAmerica_Russia"
"Pandemic (2021/2022)","South America","South China",12,13480,1123.3,"SouthAmerica_SouthChina"
"Pandemic (2021/2022)","South America","South-eastern Asia",12,42856,3571.3,"SouthAmerica_SoutheasternAsia"
"Pandemic (2021/2022)","South America","Southern Asia",12,38310,3192.5,"SouthAmerica_SouthernAsia"
"Pandemic (2021/2022)","South America","Western Asia",12,232105,19342.1,"SouthAmerica_WesternAsia"
"Pandemic (2021/2022)","South China","Africa",12,137198,11433.2,"SouthChina_Africa"
"Pandemic (2021/2022)","South China","Europe",12,578303,48191.9,"SouthChina_Europe"
"Pandemic (2021/2022)","South China","Japan/Korea",12,675012,56251,"SouthChina_JapanKorea"
"Pandemic (2021/2022)","South China","North America",12,684837,57069.8,"SouthChina_NorthAmerica"
"Pandemic (2021/2022)","South China","North China",12,92146183,7678848.6,"SouthChina_NorthChina"
"Pandemic (2021/2022)","South China","Oceania",12,230433,19202.8,"SouthChina_Oceania"
"Pandemic (2021/2022)","South China","Russia",12,39335,3277.9,"SouthChina_Russia"
"Pandemic (2021/2022)","South China","South America",12,18386,1532.2,"SouthChina_SouthAmerica"
"Pandemic (2021/2022)","South China","South-eastern Asia",12,1142119,95176.6,"SouthChina_SoutheasternAsia"
"Pandemic (2021/2022)","South China","Southern Asia",12,245522,20460.2,"SouthChina_SouthernAsia"
"Pandemic (2021/2022)","South China","Western Asia",12,206387,17198.9,"SouthChina_WesternAsia"
"Pandemic (2021/2022)","South-eastern Asia","Africa",12,211611,17634.2,"SoutheasternAsia_Africa"
"Pandemic (2021/2022)","South-eastern Asia","Europe",12,1400422,116701.8,"SoutheasternAsia_Europe"
"Pandemic (2021/2022)","South-eastern Asia","Japan/Korea",12,1658415,138201.2,"SoutheasternAsia_JapanKorea"
"Pandemic (2021/2022)","South-eastern Asia","North America",12,937057,78088.1,"SoutheasternAsia_NorthAmerica"
"Pandemic (2021/2022)","South-eastern Asia","North China",12,115267,9605.6,"SoutheasternAsia_NorthChina"
"Pandemic (2021/2022)","South-eastern Asia","Oceania",12,500967,41747.2,"SoutheasternAsia_Oceania"
"Pandemic (2021/2022)","South-eastern Asia","Russia",12,123851,10320.9,"SoutheasternAsia_Russia"
"Pandemic (2021/2022)","South-eastern Asia","South America",12,52015,4334.6,"SoutheasternAsia_SouthAmerica"
"Pandemic (2021/2022)","South-eastern Asia","South China",12,938028,78169,"SoutheasternAsia_SouthChina"
"Pandemic (2021/2022)","South-eastern Asia","Southern Asia",12,872175,72681.2,"SoutheasternAsia_SouthernAsia"
"Pandemic (2021/2022)","South-eastern Asia","Western Asia",12,1549813,129151.1,"SoutheasternAsia_WesternAsia"
"Pandemic (2021/2022)","Southern Asia","Africa",12,640488,53374,"SouthernAsia_Africa"
"Pandemic (2021/2022)","Southern Asia","Europe",12,3755919,312993.2,"SouthernAsia_Europe"
"Pandemic (2021/2022)","Southern Asia","Japan/Korea",12,201894,16824.5,"SouthernAsia_JapanKorea"
"Pandemic (2021/2022)","Southern Asia","North America",12,2277445,189787.1,"SouthernAsia_NorthAmerica"
